Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15301346,CONTROL VALVE-HYDRAULIC,HOIST HANDLE,举升手柄,7657.55,,,TR100A,230-0021 230-0081
15301423,RUBBER STRIP,RUBBER STRIP,橡胶板,35.98,,,TR100A,270-0010
15301424,PLATE,PLATE,板,6.52,,,TR100A,270-0010
15301565,BRACKET ASSY,BRACKET ASSY,,119.93,,,TR100A,260-0190
15301699,LOAD BREAK SWITCH,SWITCH,开关,271.98,Электрооборудование,,TR100A,260-0080
15301727,NIPPLE， DIAGNOSTIC.,ADAPTOR,接头,111.53,,,TR100A,230-0020 230-0021
15301759,,CAB GUARD ASSY,驾驶室护板总成,,,,TR100A,270-0010
15301830,TUBE ASSEMBLY,TUBE ASSY,管总成,298.61,,,TR100A,210-0061
15301850,MOUT-ENG  ISOLATION,PAD-BODY,车厢缓冲垫,268.44,,,TR100A,270-0010
15302125,PISTON,PARKING PISTON,,7195.5,Тормозная система,,TR100A,165-0030
15302126,DISC BRAKE HOUSING,DISC HOUSING,,16538.0,Тормозная система,,TR100A,165-0030
15302161,SHIM - 10mm,SHIM,缓冲垫调隙片10mm,621.21,,,TR100A,270-0010
15302218,SPINDLE ASSY-LH,SPINDLE ASSY LH,,49207.3,,,TR100A,140-0040
15302219,SPINDLE ASSEMBLY-RH,SPINDLE ASSY RH,,49207.3,,,TR100A,140-0040
15302340,PLATE,PLATE,板,35.98,,,TR100A,230-0021
15302618,BENT PLATE,BENT PLATE,弯板,61.16,,,TR100A,100-0070
15302663,,MANIFOLD VALVE,多路块,,,,TR100A,250-0020
15302694,PLATE-BENT,BENT PLATE,弯板,71.96,,,TR100A,100-0070
15302743,BODY GUIDE SHIM,SHIIM-BODY GUIDE,车厢导向调隙片6mm,166.7,,,TR100A,270-0010
15302744,BODY GUIDE SHIM,SHIIM-BODY GUIDE,车厢导向调隙片8mm,188.28,,,TR100A,270-0010
15302745,BODY GUIDE SHIM,SHIIM-BODY GUIDE,车厢导向调隙片10mm,226.66,,,TR100A,270-0010
15302746,BODY GUIDE SHIM,SHIIM-BODY GUIDE,车厢导向调隙片12mm,243.45,,,TR100A,270-0010
15302758,SEAL RING,O O-RING,,423.14,Тормозная система,,TR100A,165-0030
15302759,SEAL RING,O O-RING,,329.55,Тормозная система,,TR100A,165-0030
15302793,HEAT PLATE,HEAT SHIELD,隔热板,46.77,,,TR100A,270-0010
15302796,DISC - FRICTION,DISC-FRICTION,,1374.34,Тормозная система,,TR100A,165-0030
15302797,PLATE SPLINED 15000719,PLATE-SPLINED SERVICE PISTON,,369.37,Тормозная система,,TR100A,165-0030
15302798,SHOCK PIECE,ASSEMBLY,,1536.58,Тормозная система,,TR100A,165-0030
15303008,,PLATE CLAMPING,夹板,,,,TR100A,100-0140
15303017,,PLATE CLAMPING,夹板,,,,TR100A,100-0140
15303282,,NUT,螺母,,,,TR100A,230-0020
15303353,STUD,A STUD,,16.43,,,TR100A,160-0020
15303368,Шпилька,UNC 2A X,,43.01,,,TR100A,165-0030
15303607,SEAL KIT,O M N,,13467.62,Тормозная система,,TR100A,165-0030
15303608,Piston seal ring assembly,PISTO,,3792.03,Тормозная система,,TR100A,165-0030
15303609,,@AB PISTON,,,,,TR100A,165-0030
15303610,,ROD,,,,,TR100A,165-0030
15303611,,"@AB GUIDE RING-ROD +,C SEAL ASSEMBLY-",,,,,TR100A,165-0030
15303631,SEAL KIT 15258037,M N,,4937.29,Тормозная система,,TR100A,165-0030
15303749,WASHER HARDENED,WASHER HARDENED,␢⚡෡ാ,7.2,,,TR100A,100-0010
15304321,CHANGE VALVE - SOLENOID VALVE,VALVE-SOLENOID,电磁阀,2109.48,,,TR100A,120-0190
15304908,TRUNNION SUPPORTING BLOCK,SUPPORT BLOCK,㙣䖤᭟᫁ ඇ,250.64,,,TR100A,200-0010
15305445,,(G HIJ) SHOWN IN DRAWING) EF LOCKTITE 518(NOT,,,,,TR100A,160-0020
15305838,SHIM,SHIM,䈳䳉⡷,31.18,,,TR100A,200-0010
15305862,STARTER SOLENOID MAG,SWITCH-MAGNETIC,伏起动电磁阀,1092.35,Электрооборудование,,TR100A,190-0070
15306970,CLAMP PLATE,CLAMP PLATE,ཀྵᶯ,88.74,,,TR100A,200-0010
15306975,BOLT M20 X 250,BOLT,㷰ṉ,23.99,,,TR100A,200-0010
15307373,HALF AXLE ASSY - REAR AXLE,ASSEMBY,,459935.9,Задний мост,,TR100A,160-0030
15307375,LEFT SPINDLE BUSHING ASSY,SPINDLE-LH,,35449.83,,,TR100A,160-0030
15307376,RIGHT SPINDLE BUSHING ASSY,SPINDLE-RH,,35449.83,,,TR100A,160-0030
15307380,BRAKE-REAR DISC,BRAKE ASSEMBLY,,207562.5,Тормозная система,,TR100A,165-0030
